code,system
C041.00,readv2
C041z00,readv2
C040.11,readv2
C040.00,readv2
C042.00,readv2
C04z000,readv2
C04..13,readv2
C044.00,readv2
C041000,readv2
C04z.12,readv2
C04..12,readv2
C04z.00,readv2
244 AG,readv2
C043200,readv2
C043100,readv2
C043000,readv2
C04..11,readv2
C04z100,readv2
C046.00,readv2
C04z.11,readv2
C03y000,readv2
C03y100,readv2
C04z.13,readv2
C04..00,readv2
C045.00,readv2
C04y.00,readv2
244 AC,readv2
C03y.00,readv2
Cyu1100,readv2
C043z00,readv2
C043.00,readv2
C03..00,readv2
C03z.00,readv2
243,readv2